words,quantity
'nt', 360
'gt', 318
'lt', 316
'get', 303
'ok', 279
'go', 248
'got', 244
'ur', 241
'know', 236
'like', 231
'call', 231
'good', 229
'come', 227
'time', 197
'day', 192
'love', 191
'going', 169
'one', 167
'want', 163
'lor', 162
'home', 161
'need', 156
'sorry', 156
'da', 149
'still', 148
'n', 139
'see', 139
'later', 135
'today', 132
'dont', 131
'r', 131
'back', 130
'think', 128
'send', 123
'k', 121
'tell', 121
'hi', 121
'take', 120
'ì', 120
'pls', 115
'oh', 113
'much', 113
'well', 112
'night', 108
'hey', 107
'wat', 106
'happy', 106
'hope', 105
'great', 103
'dear', 102
'way', 101
'work', 97
'na', 96
'give', 93
'say', 91
'already', 90
'right', 89
'make', 88
'ask', 88
'said', 88
'amp', 86
'yeah', 86
'really', 85
'wan', 81
'phone', 81
'tomorrow', 80
'yes', 79
'e', 78
'morning', 77
'please', 77
'would', 77
'im', 76
'life', 76
'cos', 76
'meet', 74
'lol', 74
'let', 74
'anything', 74
'sure', 71
'babe', 70
'pick', 69
'something', 69
'ill', 69
'miss', 69
'text', 68
'also', 68
'new', 67
'week', 66
'last', 65
'care', 64
'number', 64
'keep', 63
'feel', 62
'wait', 62
'buy', 62
'cant', 62
'went', 61
'thing', 61
'c', 60
'thanks', 60
'sent', 60
'message', 60
'around', 59
'gon', 59
'ca', 59
'free', 59
'could', 58
'nice', 58
'late', 58
'sleep', 58
'tonight', 57
'first', 57
'always', 57
'ya', 57
'even', 56
'soon', 56
'b', 56
'us', 56
'msg', 56
'many', 56
'dun', 55
'money', 55
'gud', 55
'leave', 55
'place', 54
'told', 54
'ìï', 53
'things', 51
'haha', 51
'wish', 51
'friends', 50
'fine', 50
'find', 50
'thk', 50
'coming', 50
'someone', 48
'yet', 48
'v', 47
'hello', 47
'people', 47
'lunch', 46
'getting', 46
'thought', 46
'next', 46
'heart', 46
'done', 45
'smile', 45
'man', 44
'year', 44
'stuff', 43
'yup', 43
'bit', 43
'class', 43
'meeting', 43
'job', 43
'reply', 43
'god', 43
'try', 42
'finish', 42
'may', 42
'never', 42
'thats', 42
'long', 42
'x', 41
'better', 41
'dat', 41
'talk', 40
'car', 40
'cool', 40
'use', 40
'person', 40
'friend', 39
'every', 39
'mind', 39
'lar', 38
'eat', 38
'sir', 38
'world', 37
'best', 37
'stop', 37
'lot', 37
'liao', 37
'help', 36
'name', 36
'waiting', 36
'yo', 36
'problem', 36
'dinner', 35
'sweet', 35
'another', 35
'birthday', 35
'house', 35
'jus', 35
'big', 35
'ready', 35
'didnt', 35
'shit', 35
'watching', 34
'room', 34
'check', 34
'ah', 34
'nothing', 34
'might', 34
'quite', 34
'early', 33
'aight', 33
'watch', 33
'probably', 33
'wont', 32
'remember', 32
'pa', 32
'bed', 32
'special', 32
'called', 32
'plan', 32
'ever', 32
'actually', 32
'den', 32
'princess', 32
'forgot', 31
'guess', 31
'girl', 31
'thanx', 31
'shall', 31
'dunno', 31
'two', 31
'bad', 31
'kiss', 31
