words,quantity
'call', 347
'free', 219
'txt', 156
'ur', 144
'mobile', 123
'text', 121
'stop', 116
'claim', 113
'reply', 104
'prize', 92
'get', 84
'new', 69
'send', 68
'nokia', 65
'urgent', 63
'cash', 62
'win', 60
'contact', 56
'service', 55
'please', 54
'week', 53
'c', 52
'guaranteed', 50
'customer', 49
'16', 49
'tone', 48
'per', 46
'500', 45
'phone', 45
'150', 43
'1000', 43
'18', 43
'chat', 43
'cs', 41
'draw', 39
'100', 38
'awarded', 38
'2000', 37
'latest', 36
'mins', 35
'line', 35
'150ppm', 34
'receive', 33
'camera', 33
'message', 33
'every', 33
'holiday', 32
'landline', 32
'shows', 31
'go', 31
'r', 30
'cost', 30
'want', 30
'box', 30
'number', 30
'apply', 29
'code', 29
'ringtone', 29
'msg', 29
'live', 29
'150p', 29
'video', 29
'po', 29
'award', 28
'chance', 27
'entry', 26
'offer', 26
'tones', 26
'orange', 26
'1st', 26
'collection', 26
'word', 25
'network', 25
'selected', 25
'know', 25
'sms', 24
'mob', 24
'5000', 24
'weekly', 24
'back', 23
'valid', 23
'find', 23
'collect', 23
'rate', 22
'uk', 22
'attempt', 22
'800', 22
'delivery', 21
'bonus', 21
'today', 21
'250', 21
'sae', 21
'8007', 21
'vouchers', 20
'music', 20
'2nd', 20
'update', 19
'http', 19
'account', 19
'see', 19
'750', 19
'club', 19
'86688', 19
'help', 19
'await', 19
'time', 19
'colour', 18
'play', 18
'private', 18
'unsubscribe', 18
'day', 18
'land', 18
'gift', 18
'pounds', 17
'tried', 17
'waiting', 17
'12hrs', 17
'expires', 17
'todays', 17
'nt', 17
'services', 17
'double', 17
'price', 17
'poly', 17
'dating', 17
'calls', 17
'texts', 17
'wk', 17
'final', 16
'winner', 16
'pobox', 16
'next', 16
'08000930705', 16
'statement', 16
'unredeemed', 16
'points', 16
'identifier', 16
'top', 16
'join', 16
'ltd', 16
'games', 16
'mobileupd8', 16
'dear', 16
'voucher', 16
'hi', 16
'tell', 16
'min', 16
'auction', 16
'thanks', 15
'yes', 15
'camcorder', 15
'trying', 15
'operator', 15
'350', 15
'sexy', 15
'hot', 15
'150pmsg', 15
'xmas', 15
'08000839402', 15
'wkly', 14
'freemsg', 14
'info', 14
'order', 14
'content', 14
'someone', 14
'10p', 14
'congratulations', 14
'take', 14
'like', 13
'end', 13
'150pm', 13
'0800', 13
'last', 13
'quiz', 13
'name', 13
'make', 13
'87066', 13
'easy', 13
'txts', 13
'half', 13
'worth', 13
'savamob', 13
'offers', 13
'2003', 13
'opt', 13
'mates', 13
'mobiles', 12
'national', 12
'eg', 12
'charged', 12
'complimentary', 12
'caller', 12
'player', 12
'real', 12
'reveal', 12
'anytime', 12
'200', 12
'messages', 12
'phones', 12
'rental', 12
'ipod', 12
'300', 12
'important', 12
'days', 12
'good', 12
'wan', 12
'pics', 12
'std', 11
'xxx', 11
'valued', 11
'12', 11
'wap', 11
'dont', 11
'special', 11
'dogging', 11
'yr', 11
'pls', 11
'friend', 11
'motorola', 11
'sex', 11
'b', 11
'pic', 11
'great', 11
'comp', 10
'reward', 10
'news', 10
'tomorrow', 10
'congrats', 10
'representative', 10
'speak', 10
'sent', 10
'direct', 10
'txting', 10
'secret', 10
'admirer', 10
'thinks', 10
'unlimited', 10
